Stage,DataSet,Experiment,SignalType,ExperimentIndex,Output,FitPercent,VAF_Percent,NRMSE,NRMSE_FitPercent,RMSE_rad,RMSE_deg,Bias_rad,Bias_deg,RMSE_NoBias_rad,RMSE_NoBias_deg,AmplitudeMeasured_rad,AmplitudeModel_rad,AmplitudeRatio,PhaseLag_s,PhasePeakCorrelation,ResidInputCorr0,ResidInputCorrMaxAbs
Stage 2,training,chirp_run_09,chirp,10,theta_2,44.0331307348876,82.1775738802955,0.559668692651124,44.0331307348876,0.362665214638072,20.7791861749677,0.0734268038311728,4.20704596266123,0.355154279697736,20.348841302689,1.89859762828385,1.922549270135,1.01261543862393,0.02,0.852738046730418,-0.0351367675852277,0.0787560108200623
Stage 2,training,prbs_run_10,PRBS,11,theta_1,33.2507652007229,89.29292302213,0.667492347992771,33.2507652007229,0.666238575536703,38.172658527061,-0.633439753736185,-36.2934244648896,0.206465294710312,11.8295900028256,2.63391763767807,2.67148991644742,1.0142647887815,0,0.981550648900284,0.0454876267516129,0.132309900641377
Stage 2,training,prbs_run_10,PRBS,11,theta_2,11.1756231971999,66.2105977358332,0.888243768028001,11.1756231971999,1.05522489897452,60.4599331483589,0.612919446356058,35.1176974576972,0.858969929447112,49.2153516859696,2.97999226797854,3.39418462973598,1.13899108605352,-0.03,0.752859609174904,0.264680707830038,0.287037518843945
Stage 2,training,chirp_run_10,chirp,12,theta_1,82.5534848138743,99.9339201249574,0.174465151861257,82.5534848138743,0.0690295513000287,3.95510195117345,-0.0304235626622876,-1.74314173830087,0.0619635843670874,3.55025186773692,0.896777521145468,1.02579920714706,1.14387256923745,-0.01,0.996961584936679,0.231142305170826,0.264542444519812
Stage 2,training,chirp_run_10,chirp,12,theta_2,15.9559483014639,48.6439592506134,0.840440516985361,15.9559483014639,0.691413373470752,39.6150681987766,0.0425299511698256,2.43678670492849,0.690104090893321,39.5400518328999,2.01278215545658,1.94168209135638,0.964675728117195,0.02,0.583504782384133,-0.0317440237174433,0.0524785946314119
Stage 2,validation,prbs_run_02,PRBS,1,theta_1,53.2410439155973,99.2713503756663,0.467589560844027,53.2410439155973,0.21141961490116,12.1134516401176,0.153078419407855,8.77074736660362,0.145826098749667,8.35522000121388,0.934875912566681,1.13272013679675,1.21162618650308,-0.02,0.980207809235339,0.137052907067486,0.149778894226425
Stage 2,validation,prbs_run_02,PRBS,1,theta_2,56.5061182749068,93.2451523090362,0.434938817250932,56.5061182749068,0.227812799668395,13.0527119400584,-0.158363247405869,-9.0735457063424,0.163767376372157,9.3831794880551,1.30603217354432,1.39693905064323,1.06960538870357,-0.02,0.972773364846437,-0.0888439446839016,0.184291027013096
Stage 2,validation,chirp_run_02,chirp,2,theta_1,33.4078177538961,99.7799400733593,0.665921822461039,33.4078177538961,0.127672223547185,7.31507957030446,-0.0965321619793476,-5.53088546868985,0.083556797264348,4.7874518328774,0.450586744693189,0.622003041537761,1.38042907134628,-0.01,0.983757083685825,0.0522459019238919,0.200852071827543
Stage 2,validation,chirp_run_02,chirp,2,theta_2,51.2822753419588,88.8340029286851,0.487177246580412,51.2822753419588,0.195342384393252,11.1922941857555,0.0919356161530628,5.26752279250526,0.172355706673721,9.875254567399,1.27095588088341,1.35175896384284,1.06357662305576,-0.02,0.926499974354459,-0.0254692428524753,0.151278985607256
Stage 2,validation,prbs_run_04,PRBS,3,theta_1,79.0481785028026,98.3644032791962,0.209518214971974,79.0481785028026,0.232320833097024,13.3110032294227,0.148703041228711,8.52005666316502,0.178494747878551,10.2269957186927,2.18186557023791,2.40526725695359,1.1023902158607,0,0.994635615024044,0.200235235104715,0.206721347028705
Stage 2,validation,prbs_run_04,PRBS,3,theta_2,66.6830423928004,96.2139229888347,0.333169576071996,66.6830423928004,0.408547482780643,23.4080464940245,-0.154829893392875,-8.87109943387222,0.378072413432071,21.6619536399829,2.40683071981738,2.72843269269127,1.13362052022433,-0.05,0.982787975510976,-0.18578708433015,0.191485713177263
Stage 2,validation,chirp_run_04,chirp,4,theta_1,22.4235077381795,93.0760559123245,0.775764922618205,22.4235077381795,0.472648240195801,27.080749357505,-0.45302422138889,-25.9563759027836,0.134779129672133,7.72227529665966,1.09606141473335,1.2123069709936,1.1060575207718,0,0.979291370253453,0.0585981264169795,0.121212438901971
Stage 2,validation,chirp_run_04,chirp,4,theta_2,12.1635131918632,88.2505970045451,0.878364868081368,12.1635131918632,0.540061384498091,30.9432380097326,0.445816090702255,25.5433804362607,0.304818490739905,17.4648130369441,1.14632309632233,1.50466429722987,1.31260052428254,0.01,0.903707595524702,0.0638838286323289,0.255707296641524
Stage 2,validation,prbs_run_06,PRBS,5,theta_1,51.9597625974656,95.2897321397006,0.480402374025344,51.9597625974656,0.416919540647952,23.8877300756606,-0.391760267403838,-22.4462099031565,0.142638691306997,8.17259500716031,2.15109379255155,2.21474877973169,1.02959191616867,0,0.987887564340779,0.091900820544213,0.204197769611726
Stage 2,validation,prbs_run_06,PRBS,5,theta_2,45.6867639124684,91.0489890666629,0.543132360875316,45.6867639124684,0.51059296654059,29.2548220318403,0.384870877630309,22.0514769457127,0.335528814012741,19.22438494796,2.52400046338679,2.5133135262968,0.995765873562621,0.02,0.940984971333877,0.00544296996207098,0.206065742091788
Stage 2,validation,chirp_run_06,chirp,6,theta_1,76.6262701521082,99.8085672786674,0.233737298478918,76.6262701521082,0.108706536359597,6.22842573889032,-0.0996517976923034,-5.7096274286605,0.0434353573024621,2.48866265507382,0.983964224590167,1.01235541011169,1.02885387985864,-0.01,0.995952659893328,0.380742571941002,0.383093695844391
Stage 2,validation,chirp_run_06,chirp,6,theta_2,45.2165341946929,85.7976068005928,0.547834658053071,45.2165341946929,0.365058955049393,20.9163373977862,0.0974249341655491,5.58203754702586,0.351818735806655,20.1577287153495,1.58589621073238,1.65672674937391,1.04466278320245,0.01,0.85201859487535,-0.0594287698271109,0.0621665115088544
Stage 2,validation,prbs_run_08,PRBS,7,theta_1,86.9308745823794,99.1731222949463,0.130691254176206,86.9308745823794,0.191690770048866,10.9830720954128,0.115016353172075,6.58995161174603,0.153351197663806,8.78637640941255,2.63391763767807,2.83001983563574,1.07445266896445,0,0.99696515724084,0.294580471934829,0.300982460973378
Stage 2,validation,prbs_run_08,PRBS,7,theta_2,77.1639925143173,97.5652223288221,0.228360074856827,77.1639925143173,0.35151256555253,20.1401864519757,-0.104575981885305,-5.99176240046455,0.335596406050551,19.2282576864552,2.81953688665739,3.03259622078734,1.07556536505629,-0.04,0.982464545585185,-0.219326223675217,0.219442582071128
Stage 2,validation,chirp_run_08,chirp,8,theta_1,64.6759378519191,99.0292013367088,0.353240621480809,64.6759378519191,0.217357228031125,12.4536518128461,-0.204306726222897,-11.7059131387068,0.0741817106668243,4.25029893826963,1.23013844608108,1.24002159504178,1.00803417614674,0,0.994218914101229,0.239325369161266,0.239325369161268
Stage 2,validation,chirp_run_08,chirp,8,theta_2,38.6491661436648,87.04452008937,0.613508338563353,38.6491661436648,0.455638458673968,26.1061606658644,0.199292079464226,11.418595043686,0.409742690094179,23.4765268287333,1.66724335754172,1.75135232728314,1.05044792612966,-0.07,0.90544817361016,-0.0369064640882945,0.0622700784243363
Stage 3,training,prbs_run_01,PRBS,1,theta_1,80.1431285663527,97.4612542532359,0.198568714336473,80.1431285663527,0.180547337892652,10.3446004635714,0.0370050839759372,2.1202351323484,0.176714359858098,10.1249869992251,1.54957880492048,1.7191115232521,1.10940567707386,0,0.989741883292331,0.172015005218233,0.194281369494724
Stage 3,training,prbs_run_01,PRBS,1,theta_2,73.9415343913932,99.0778623062829,0.260584656086068,73.9415343913932,0.254692665568073,14.5928148099875,-0.0397853259536864,-2.27953126369853,0.251566058388108,14.4136734143803,1.85381938233376,2.03747387936357,1.0990681717863,-0.04,0.986602338818919,-0.0656571217474591,0.209979653211358
Stage 3,training,chirp_run_01,chirp,2,theta_1,36.1723097213904,98.6070495456825,0.638276902786096,36.1723097213904,0.271198189921827,15.538511694108,-0.263290482267203,-15.0854334198748,0.0650121539743051,3.72492203978234,0.746581939581072,0.835793457140586,1.11949327036972,0,0.99149596002162,0.115489346079991,0.164383939667846
Stage 3,training,chirp_run_01,chirp,2,theta_2,32.8515079417975,89.3800167383165,0.671484920582025,32.8515079417975,0.328283992946471,18.8092872775353,0.256748231914712,14.7105900861591,0.20457449849272,11.7212553596383,1.02243661586041,1.23963700633761,1.21243408843924,-0.06,0.965720355846089,-0.0150383557719594,0.127168889975014
Stage 3,training,prbs_run_03,PRBS,3,theta_1,80.7418066728277,99.5664623781201,0.192581933271723,80.7418066728277,0.162569151892355,9.31452628245315,-0.0747270012937368,-4.28154178979976,0.144376606223603,8.27217019703468,1.64629010622048,1.77979403151489,1.0810938028419,0,0.985531897889452,0.106499866190857,0.134762412388639
Stage 3,training,prbs_run_03,PRBS,3,theta_2,45.5268274015391,81.6458649015579,0.544731725984609,45.5268274015391,0.564012001915454,32.31550730448,0.0625520461660921,3.58396824522456,0.56053258587268,32.1161514500589,2.17025232038107,1.99287003207176,0.918266513693596,0.03,0.846120521348935,0.0137802740084672,0.153377233984546
Stage 3,training,chirp_run_03,chirp,4,theta_1,63.07094155682,99.9203421446216,0.3692905844318,63.07094155682,0.0791843322896764,4.53692804375994,-0.0550550394036449,-3.1544213987553,0.056913101447953,3.2608805119676,0.49601174984925,0.626240967773542,1.2625526874391,-0.01,0.993564364364772,0.1450164227367,0.258454490657002
Stage 3,training,chirp_run_03,chirp,4,theta_2,49.9593541617132,83.6118413091802,0.500406458382868,49.9593541617132,0.235153104832956,13.4732804463258,0.0492101097295526,2.81953159687903,0.229946402044008,13.1749583513401,1.42170930891538,1.44476419047453,1.01621631188216,-0.01,0.874880767383924,-0.052022388289625,0.122101413762837
Stage 3,training,prbs_run_05,PRBS,5,theta_1,75.7064441188427,97.101305104262,0.242935558811573,75.7064441188427,0.302848388013353,17.3519344655055,0.146892978075074,8.41634768380948,0.264838817235168,15.1741464788117,2.34671437927201,2.44627982732174,1.04242759533464,-0.01,0.977475995870998,0.216077153174703,0.220770046431499
Stage 3,training,prbs_run_05,PRBS,5,theta_2,75.1022136104771,98.0084205636141,0.248977863895229,75.1022136104771,0.320684887704528,18.3738906190962,-0.148929774203876,-8.53304750571844,0.284004787913246,16.2722757089371,2.77401233660813,2.71843640809285,0.979965507801875,-0.01,0.976088367484732,-0.173311762594577,0.183507409302088
Stage 3,training,chirp_run_05,chirp,6,theta_1,-5.35532870882287,83.0583058273861,1.05355328708823,-5.35532870882287,0.638968459382552,36.6101959645966,-0.603012084094414,-34.5500474139978,0.211322309569586,12.1078764552943,1.08726947825153,1.28848667106873,1.18506653303722,0,0.953755886462861,0.0119365484025879,0.10300535857044
Stage 3,training,chirp_run_05,chirp,6,theta_2,-15.1715663552663,82.5634928154849,1.15171566355266,-15.1715663552663,0.764538444602421,43.8048261512152,0.589236531421581,33.7607663853843,0.487154332130336,27.9118872025826,1.33588433751104,1.44384074568523,1.08081269099638,0.21,0.900189479395751,0.0889675132099156,0.253227509797802
Stage 3,training,prbs_run_07,PRBS,7,theta_1,43.8362623820114,95.8898032066968,0.561637376179886,43.8362623820114,0.416862912911747,23.8844855453727,-0.394164409555085,-22.5839571017725,0.135680162151132,7.77390065491051,2.05218450713109,2.09235189130126,1.01957298870087,-0.01,0.98619315952767,0.1389547634845,0.151513711218785
Stage 3,training,prbs_run_07,PRBS,7,theta_2,30.4234812031906,83.0429467004652,0.695765187968094,30.4234812031906,0.624960325814239,35.8075890322767,0.384766154368737,22.0454767448077,0.492473771173789,28.2166686091496,2.42698093049492,2.47141800830277,1.01830961143925,-0.02,0.863407878135313,0.0102602694820096,0.109696820378969
Stage 3,training,chirp_run_07,chirp,8,theta_1,82.0372174312972,99.9550025362939,0.179627825687028,82.0372174312972,0.0585402070725277,3.35410679707773,-0.025149154825248,-1.44094042980778,0.0528628021927529,3.02881545887966,0.753908553315921,0.863258973585657,1.14504467390479,-0.01,0.99732311913104,0.226051281783427,0.26940714404734
Stage 3,training,chirp_run_07,chirp,8,theta_2,34.0189984615092,69.439550657549,0.659810015384908,34.0189984615092,0.406856510010556,23.311160891027,0.0217298042930071,1.24502607563457,0.40627581191028,23.2778893407099,1.82993765116038,1.77022577941767,0.967369450153208,0.03,0.779366377494801,-0.0328554748518958,0.0576916720402052
Stage 3,training,prbs_run_09,PRBS,9,theta_1,62.3866640807847,97.1679710039029,0.376133359192153,62.3866640807847,0.335377965917353,19.2157419887467,-0.271016199406515,-15.5280844056692,0.197556573371045,11.3191578692274,2.17527161787655,2.09031790869641,0.960945700535979,-0.02,0.975465599064383,0.101565235701285,0.11491483934197
Stage 3,training,prbs_run_09,PRBS,9,theta_2,57.1701813980682,94.0252160537735,0.428298186019318,57.1701813980682,0.402637854514015,23.0694497358555,0.25972916853772,14.8813851736534,0.307665404129801,17.6279291588244,2.7583399505256,2.5304948903747,0.917397759435896,0,0.946086903004682,-0.0130401675290377,0.128108406324881
Stage 3,training,chirp_run_09,chirp,10,theta_1,75.6050582411841,99.8517931640482,0.243949417588159,75.6050582411841,0.100678408504107,5.76844789537937,-0.088754406991235,-5.08525293378418,0.0475268048426793,2.72308533122745,0.910698087241681,1.00932137725117,1.1082941661909,-0.01,0.995568749106369,0.256430557021969,0.318529122226932
Stage 3,training,chirp_run_09,chirp,10,theta_2,43.569981109257,81.8813770540433,0.56430018890743,43.569981109257,0.365666423399513,20.9511427704359,0.0875641671892469,5.01705721652177,0.355027393064599,20.3415712341337,1.89859762828385,1.87931935641663,0.989846046587214,0.02,0.851313410063162,-0.0359947028892387,0.0700622062645734
Stage 3,training,prbs_run_10,PRBS,11,theta_1,33.5092266378755,89.3756807860514,0.664907733621245,33.5092266378755,0.663658815929907,38.0248491894332,-0.631239397617243,-36.1673533458485,0.204889840785984,11.7393231421443,2.63391763767807,2.63015437957607,0.998571231670966,0,0.981011104056249,0.0527487662732493,0.136945847691019
Stage 3,training,prbs_run_10,PRBS,11,theta_2,22.8019088042858,74.4771425395102,0.771980911957142,22.8019088042858,0.917105764376785,52.5462896659091,0.623457475259479,35.7214820382501,0.672594795992508,38.5368431328333,2.97999226797854,2.80482552859894,0.941219062458027,-0.03,0.841508207793215,0.184641085071783,0.247998518403466
